"ANOVA"	"ANOVA"	"ANOVA"	"ANALYSIS_METHOD"	"29"	"0"
"F_TEST"	"F-test"	"F-test"	"ANALYSIS_METHOD"	"30"	"0"
"KOLMOGOROV-SMIRNOV"	"Kolmogorov-Smirnov"	"Kolmogorov-Smirnov"	"ANALYSIS_METHOD"	"31"	"0"
"KRUSKAL-WALLIS"	"Kruskal-Wallis"	"Kruskal-Wallis"	"ANALYSIS_METHOD"	"32"	"0"
"PAIRED_T_TEST"	"Paired T-test"	"Paired T-test"	"ANALYSIS_METHOD"	"33"	"0"
"SAM"	"SAM"	"SAM"	"ANALYSIS_METHOD"	"34"	"0"
"UNPAIRED_T_TEST"	"Unpaired T-test"	"Unpaired T-test"	"ANALYSIS_METHOD"	"35"	"0"
"WILCOXON_MAN-WHITNEY"	"Wilcoxon / Mann-Whitney"	"Wilcoxon / Mann-Whitney"	"ANALYSIS_METHOD"	"36"	"0"
"CLASSIFICATION"	"Classification"	"Distinguishing sample categories"	"ANALYTIC_CATEGORY"	"37"	"0"
"CLUSTERING"	"Clustering"	"Grouping similar expression behavior"	"ANALYTIC_CATEGORY"	"38"	"0"
"CORRELATION"	"Correlation"	"Indicating similar underlying regulation"	"ANALYTIC_CATEGORY"	"39"	"0"
"DIFFERENTIAL"	"Differential Expression"	"Comparative study"	"ANALYTIC_CATEGORY"	"40"	"0"
"DNA"	"DNA"	"DNA"	"ASSAY_BIOMARKER_TYPE"	"41"	"0"
"RNA"	"RNA"	"RNA"	"ASSAY_BIOMARKER_TYPE"	"42"	"0"
"PROTEIN"	"Protein"	"Protein"	"ASSAY_BIOMARKER_TYPE"	"43"	"0"
"OTHER"	"Other"	"Other"	"ASSAY_BIOMARKER_TYPE"	"44"	"0"
"NOT_APPLICABLE"	"Not applicable"	"Not applicable"	"ASSAY_BIOMARKER_TYPE"	"45"	"0"
"ANDORRA"	"ANDORRA"	"ANDORRA"	"COUNTRY"	"46"	"0"
"AFGHANISTAN"	"AFGHANISTAN"	"AFGHANISTAN"	"COUNTRY"	"47"	"0"
"ALAND_ISLANDS"	"ALAND ISLANDS"	"ALAND ISLANDS"	"COUNTRY"	"48"	"0"
"ALBANIA"	"ALBANIA"	"ALBANIA"	"COUNTRY"	"49"	"0"
"ALGERIA"	"ALGERIA"	"ALGERIA"	"COUNTRY"	"50"	"0"
"AMERICAN_SAMOA"	"AMERICAN SAMOA"	"AMERICAN SAMOA"	"COUNTRY"	"51"	"0"
"ANGOLA"	"ANGOLA"	"ANGOLA"	"COUNTRY"	"52"	"0"
"ANGUILLA"	"ANGUILLA"	"ANGUILLA"	"COUNTRY"	"53"	"0"
"ANTARCTICA"	"ANTARCTICA"	"ANTARCTICA"	"COUNTRY"	"54"	"0"
"ANTIGUA_AND_BARBUDA"	"ANTIGUA AND BARBUDA"	"ANTIGUA AND BARBUDA"	"COUNTRY"	"55"	"0"
"NETHERLANDS_ANTILLES"	"NETHERLANDS ANTILLES"	"NETHERLANDS ANTILLES"	"COUNTRY"	"56"	"0"
"ARGENTINA"	"ARGENTINA"	"ARGENTINA"	"COUNTRY"	"57"	"0"
"ARMENIA"	"ARMENIA"	"ARMENIA"	"COUNTRY"	"58"	"0"
"ARUBA"	"ARUBA"	"ARUBA"	"COUNTRY"	"59"	"0"
"AUSTRALIA"	"AUSTRALIA"	"AUSTRALIA"	"COUNTRY"	"60"	"0"
"AUSTRIA"	"AUSTRIA"	"AUSTRIA"	"COUNTRY"	"61"	"0"
"AZERBAIJAN"	"AZERBAIJAN"	"AZERBAIJAN"	"COUNTRY"	"62"	"0"
"BAHAMAS"	"BAHAMAS"	"BAHAMAS"	"COUNTRY"	"63"	"0"
"BAHRAIN"	"BAHRAIN"	"BAHRAIN"	"COUNTRY"	"64"	"0"
"BARBADOS"	"BARBADOS"	"BARBADOS"	"COUNTRY"	"65"	"0"
"BANGLADESH"	"BANGLADESH"	"BANGLADESH"	"COUNTRY"	"66"	"0"
"BELARUS"	"BELARUS"	"BELARUS"	"COUNTRY"	"67"	"0"
"BELGIUM"	"BELGIUM"	"BELGIUM"	"COUNTRY"	"68"	"0"
"BELIZE"	"BELIZE"	"BELIZE"	"COUNTRY"	"69"	"0"
"BENIN"	"BENIN"	"BENIN"	"COUNTRY"	"70"	"0"
"BERMUDA"	"BERMUDA"	"BERMUDA"	"COUNTRY"	"71"	"0"
"BHUTAN"	"BHUTAN"	"BHUTAN"	"COUNTRY"	"72"	"0"
"BOLIVIA"	"BOLIVIA"	"BOLIVIA"	"COUNTRY"	"73"	"0"
"BOSNIA_AND_HERZEGOVINA"	"BOSNIA AND HERZEGOVINA"	"BOSNIA AND HERZEGOVINA"	"COUNTRY"	"74"	"0"
"BOTSWANA"	"BOTSWANA"	"BOTSWANA"	"COUNTRY"	"75"	"0"
"BOUVET_ISLAND"	"BOUVET ISLAND"	"BOUVET ISLAND"	"COUNTRY"	"76"	"0"
"BRAZIL"	"BRAZIL"	"BRAZIL"	"COUNTRY"	"77"	"0"
"BRITISH_INDIAN_OCEAN_TERRITORY"	"BRITISH INDIAN OCEAN TERRITORY"	"BRITISH INDIAN OCEAN TERRITORY"	"COUNTRY"	"78"	"0"
"BRUNEI_DARUSSALAM"	"BRUNEI DARUSSALAM"	"BRUNEI DARUSSALAM"	"COUNTRY"	"79"	"0"
"BULGARIA"	"BULGARIA"	"BULGARIA"	"COUNTRY"	"80"	"0"
"BURKINA_FASO"	"BURKINA FASO"	"BURKINA FASO"	"COUNTRY"	"81"	"0"
"BURUNDI"	"BURUNDI"	"BURUNDI"	"COUNTRY"	"82"	"0"
"CAMBODIA"	"CAMBODIA"	"CAMBODIA"	"COUNTRY"	"83"	"0"
"CAMEROON"	"CAMEROON"	"CAMEROON"	"COUNTRY"	"84"	"0"
"CANADA"	"CANADA"	"CANADA"	"COUNTRY"	"85"	"0"
"CAPE_VERDE"	"CAPE VERDE"	"CAPE VERDE"	"COUNTRY"	"86"	"0"
"CAYMAN_ISLANDS"	"CAYMAN ISLANDS"	"CAYMAN ISLANDS"	"COUNTRY"	"87"	"0"
"CENTRAL_AFRICAN_REPUBLIC"	"CENTRAL AFRICAN REPUBLIC"	"CENTRAL AFRICAN REPUBLIC"	"COUNTRY"	"88"	"0"
"CHAD"	"CHAD"	"CHAD"	"COUNTRY"	"89"	"0"
"CHILE"	"CHILE"	"CHILE"	"COUNTRY"	"90"	"0"
"CHINA"	"CHINA"	"CHINA"	"COUNTRY"	"91"	"0"
"CHRISTMAS_ISLAND"	"CHRISTMAS ISLAND"	"CHRISTMAS ISLAND"	"COUNTRY"	"92"	"0"
"COCOS_KEELING_ISLANDS"	"COCOS (KEELING) ISLANDS"	"COCOS (KEELING) ISLANDS"	"COUNTRY"	"93"	"0"
"COLOMBIA"	"COLOMBIA"	"COLOMBIA"	"COUNTRY"	"94"	"0"
"COMOROS"	"COMOROS"	"COMOROS"	"COUNTRY"	"95"	"0"
"CONGO_THE_DEMOCRATIC_REPUBLIC_OF_THE"	"CONGO THE DEMOCRATIC REPUBLIC OF THE"	"CONGO THE DEMOCRATIC REPUBLIC OF THE"	"COUNTRY"	"96"	"0"
"CONGO"	"CONGO"	"CONGO"	"COUNTRY"	"97"	"0"
"COOK_ISLANDS"	"COOK ISLANDS"	"COOK ISLANDS"	"COUNTRY"	"98"	"0"
"COTE_D'IVOIRE"	"COTE D'IVOIRE"	"COTE D'IVOIRE"	"COUNTRY"	"99"	"0"
"COSTA_RICA"	"COSTA RICA"	"COSTA RICA"	"COUNTRY"	"100"	"0"
"CROATIA"	"CROATIA"	"CROATIA"	"COUNTRY"	"101"	"0"
"CUBA"	"CUBA"	"CUBA"	"COUNTRY"	"102"	"0"
"CYPRUS"	"CYPRUS"	"CYPRUS"	"COUNTRY"	"103"	"0"
"CZECH_REPUBLIC"	"CZECH REPUBLIC"	"CZECH REPUBLIC"	"COUNTRY"	"104"	"0"
"DENMARK"	"DENMARK"	"DENMARK"	"COUNTRY"	"105"	"0"
"DJIBOUTI"	"DJIBOUTI"	"DJIBOUTI"	"COUNTRY"	"106"	"0"
"DOMINICA"	"DOMINICA"	"DOMINICA"	"COUNTRY"	"107"	"0"
"DOMINICAN_REPUBLIC"	"DOMINICAN REPUBLIC"	"DOMINICAN REPUBLIC"	"COUNTRY"	"108"	"0"
"ECUADOR"	"ECUADOR"	"ECUADOR"	"COUNTRY"	"109"	"0"
"EGYPT"	"EGYPT"	"EGYPT"	"COUNTRY"	"110"	"0"
